"Sample ( # = organism, letter = pad)",Independent variable (PAR) (μmol cm-2 s−1),flowers (sexual reproduction),vegetative budding (asexual reproduction),Dependent variable (Ratio of sexual to asexual)
1a,1756,8,0,8
1b,1738,8,0,8
1c,1683,4,2,2
1d,1742,5,0,5
1e,1722,6,0,6
1f,1489,4,1,4
1g,1365,2,2,1
1h,1432,3,1,3
1i,1221,1,2,0.5
1j,1202,1,2,0.5
2a,1568,4,1,4
2b,1718,7,0,7
2c,1492,3,1,3
2d,1654,6,0,6
2e,1549,3,1,3
2f,1203,1,1,1
2g,1588,3,1,3
2h,1501,3,0,3
2i,1635,6,0,6
2j,1347,3,2,1.5
3a,1315,2,1,2
3b,1225,0,2,0
3c,1417,5,1,5
3d,1513,6,0,6
3e,1403,3,1,3
3f,1437,4,1,4
3g,1774,9,0,9
3h,1778,8,0,8
3i,1141,0,2,0
3j,1677,6,0,6
4a,1580,6,0,6
4b,1302,2,1,2
4c,1360,3,1,3
4d,1632,5,0,5
4e,1678,5,0,5
4f,1407,4,1,4
4g,1155,0,3,0
4h,1277,0,2,0
4i,1540,5,0,5
4j,1263,3,1,3
5a,1358,1,2,
5b,1170,0,2,
5c,1283,2,1,
5d,1542,5,0,
5e,1499,3,1,
5f,1530,4,1,
5g,1456,3,1,
5h,1785,7,0,
5i,1107,0,2,
5j,1339,4,1,
